T,I,I_obs,Rt,sigma,H_obs
0,1,1,2.998788,0.909825617932157,0.223708715876589
0.00840336134453781,1.49145612648672,1.49145612648672,2.998676,0.909800755206388,0.333635352603767
0.0168067226890756,2.22437957031719,2.22437957031719,2.998534,0.909772349201041,0.497648253540505
0.0252100840336134,3.31753605794254,3.31753605794254,2.998308,0.909739895424319,0.741917543990474
0.0336134453781513,4.94706394112896,4.94706394112896,2.99791,0.909702817699738,1.10639890310752
0.0420168067226891,7.37656871449702,7.37656871449702,2.997215,0.909660458024473,1.65009446334111
0.0504201680672269,10.9983629572663,10.9983629572663,2.996066,0.909612065006405,2.4577081761341
0.0588235294117647,16.3894654572537,16.3894654572537,2.994269,0.909556780684848,3.6649970916566
0.0672268907563025,24.4195937650738,24.4195937650738,2.991598,0.909493625514393,5.454626771224
0.0756302521008403,36.3523178889143,36.3523178889143,2.987792,0.909421481262913,8.11522463431504
0.0840336134453782,54.0666698265328,54.0666698265328,2.982559,0.909339071543198,12.0718171328335
0.092436974789916,80.3369844589871,80.3369844589871,2.975577,0.909244939662795,17.8998385792366
0.100840336134454,119.13679932808,119.13679932808,2.966499,0.909137423438309,26.5250619847416
0.109243697478992,176.326607234398,176.326607234398,2.954952,0.909014626578632,39.2258743556918
0.117647058823529,260.3566173199,260.3566173199,2.940545,0.908874386196378,57.7491689532498
0.126050420168067,383.074895347609,383.074895347609,2.922874,0.90871423595855,84.8274086037773
0.134453781512605,561.494200394921,561.494200394921,2.901529,0.908531364336581,124.068455310135
0.142857142857143,819.334385684843,819.334385684843,2.876104,0.908322567363403,180.318670513453
0.151260504201681,1188.69821117957,1188.69821117957,2.846201,0.908084195252293,260.759679683786
0.159663865546218,1713.48845468026,1713.48845468026,2.811448,0.907812092181093,374.441122359416
0.168067226890756,2452.00862229306,2452.00862229306,2.771507,0.907501528498677,532.982509944113
0.176470588235294,3478.60358485718,3478.60358485718,2.726088,0.907147124572286,752.094274774278
0.184873949579832,4887.03921146582,4887.03921146582,2.67496,0.906742765469823,1050.43072611996
0.19327731092437,6792.18868087644,6792.18868087644,2.617969,0.906281505667562,1450.09515978251
0.201680672268908,9328.97511268292,9328.97511268292,2.555045,0.905755463000357,1976.60923097733
0.210084033613445,12646.2140485849,12646.2140485849,2.486219,0.905155701140565,2657.62628229573
0.218487394957983,16896.3064675078,16896.3064675078,2.411629,0.904472100019205,3520.38573991934
0.226890756302521,22228.9924822439,22228.9924822439,2.331526,0.903693213808177,4587.85596594259
0.235294117647059,28765.7529410556,28765.7529410556,2.246281,0.902806116390541,5875.02709399845
0.243697478991597,36574.6519848885,36574.6519848885,2.156381,0.901796234687201,7391.28797271041
0.252100840336134,45661.1337128659,45661.1337128659,2.062426,0.900647170819712,9127.47686462362
0.260504201680672,55924.1989550829,55924.1989550829,1.965118,0.89934051491337,11049.2533028255
0.26890756302521,67153.0670764008,67153.0670764008,1.865246,0.897855651431972,13103.1802744586
0.277310924369748,79030.4180159544,79030.4180159544,1.763668,0.89616956334003,15234.2115809278
0.285714285714286,91141.8397923425,91141.8397923425,1.661287,0.894256640166786,17350.5292825744
0.294117647058824,102987.967339599,102987.967339599,1.55903,0.89208849825357,19342.01116055
0.302521008403361,113996.903040348,113996.903040348,1.457817,0.889633824145683,21127.084032794
0.310924369747899,123665.15778006,123665.15778006,1.358538,0.886858255263611,22625.7753389923
0.319327731092437,131569.144629569,131569.144629569,1.262026,0.883724315637585,23758.1125188325
0.327731092436975,137365.17884508,137365.17884508,1.169037,0.880191428532588,24485.9526652917
0.336134453781513,140768.929335763,140768.929335763,1.080232,0.876216032053095,24767.082920148
0.34453781512605,141766.880651474,141766.880651474,0.996164,0.871751827993894,24593.8509999783
0.352941176470588,140529.119678446,140529.119678446,0.917271,0.86675019782316,24027.1628132891
0.361344537815126,137267.485087948,137267.485087948,0.843871,0.861160822069979,23127.9903256745
0.369747899159664,132235.46468833,132235.46468833,0.776173,0.854932539637323,21957.3055027277
0.378151260504202,125728.195425026,125728.195425026,0.714276,0.848014480548499,20576.0803100425
0.38655462184874,118082.463380553,118082.463380553,0.658191,0.840357498071482,19045.2867132123
0.394957983193277,109676.70377451,109676.70377451,0.607846,0.831915912729279,17424.7670035225
0.403361344537815,100926.876284942,100926.876284942,0.563111,0.822649560269641,15765.207132148
0.411764705882353,92135.7805544662,92135.7805544662,0.523814,0.812526107642215,14153.4334120513
0.420168067226891,83496.3122739355,83496.3122739355,0.489757,0.801523565790457,12617.3951403982
0.428571428571429,75179.5524974097,75179.5524974097,0.460735,0.789632887419489,11168.0427698038
0.436974789915966,67319.4394419338,67319.4394419338,0.436554,0.776860495488874,9816.32675288268
0.445378151260504,60012.7684875386,60012.7684875386,0.417047,0.763230549618025,8573.19754224981
0.453781512605042,53319.1921772407,53319.1921772407,0.402087,0.748786730186359,7449.60559052031
0.46218487394958,47261.2202170419,47261.2202170419,0.391604,0.733593311758225,6456.40454894339
0.470588235294118,41824.657600255,41824.657600255,0.385599,0.717735315917231,5590.46798940061
0.478991596638655,36987.3861920212,36987.3861920212,0.384156,0.701317583258475,4830.73321885837
0.487394957983193,32716.0934788709,32716.0934788709,0.387459,0.684462684981628,4168.8553414066
0.495798319327731,28967.9502039068,28967.9502039068,0.39581,0.667307699890588,3597.46846700954
0.504201680672269,25701.928164779,25701.928164779,0.409639,0.65,3109.20670563163
0.512605042016807,22878.800213685,22878.800213685,0.429524,0.632692300109412,2696.7041672371
0.521008403361345,20461.1402573695,20461.1402573695,0.456206,0.615537315018372,2352.59496179043
0.529411764705882,18413.3232571246,18413.3232571246,0.490594,0.598682416741525,2069.36400932522
0.53781512605042,16701.507169331,16701.507169331,0.533765,0.582264684082769,1835.21623372746
0.546218487394958,15294.800451588,15294.800451588,0.586941,0.566406688241775,1644.08174195379
0.554621848739496,14171.2179097277,14171.2179097277,0.651439,0.551213269813641,1493.08749465848
0.563025210084034,13317.8070360692,13317.8070360692,0.728574,0.536769450381975,1378.3061322525
0.571428571428571,12729.7846654498,12729.7846654498,0.819498,0.523139504511126,1296.73608226981
0.579831932773109,12408.3817063139,12408.3817063139,0.924967,0.510367112580511,1247.3844586201
0.588235294117647,12371.7790475182,12371.7790475182,1.045019,0.498476434209543,1231.11346922966
0.596638655462185,12654.3277762233,12654.3277762233,1.178569,0.487473892357785,1248.53643915983
0.605042016806723,13298.5326425961,13298.5326425961,1.322971,0.477350439730359,1301.44470273034
0.613445378151261,14369.8085925178,14369.8085925178,1.473607,0.468084087270721,1403.00215393602
0.621848739495798,16033.782738664,16033.782738664,1.623633,0.459642501928518,1565.46084796509
0.630252100840336,18464.2115991695,18464.2115991695,1.764029,0.451985519451501,1800.58224481414
0.638655462184874,21832.1674370191,21832.1674370191,1.884099,0.445067460362677,2120.12780447968
0.647058823529412,26306.0382600481,26306.0382600481,1.97251,0.438839177930021,2535.85898695822
0.65546218487395,32051.5278209423,32051.5278209423,2.018816,0.43324980217684,3059.53725224634
0.663865546218487,39231.6556172378,39231.6556172378,2.015245,0.428248172006106,3698.30387151038
0.672268907563025,47860.9497094068,47860.9497094068,1.958341,0.423783967946905,4432.60908378719
0.680672268907563,57340.3433225013,57340.3433225013,1.850019,0.419808571467412,5195.91773965594
0.689075630252101,66828.7687157276,66828.7687157276,1.697631,0.416275684362415,5909.06166813744
0.697478991596639,75373.475490952,75373.475490952,1.512947,0.413141744736389,6492.86715684505
0.705882352941177,81910.0150992041,81910.0150992041,1.310244,0.410366175854317,6871.75659905258
0.714285714285714,85332.9705047803,85332.9705047803,1.104021,0.40791150174643,6976.79554972216
0.722689075630252,85347.3998844372,85347.3998844372,0.906902,0.405743359833214,6807.35428054386
0.73109243697479,82348.6438966961,82348.6438966961,0.728221,0.40383043665997,6423.89342543844
0.739495798319328,76906.7321516227,76906.7321516227,0.573487,0.402144348568028,5888.61818007112
0.747899159663866,69756.6251439787,69756.6251439787,0.444644,0.400659485086631,5262.20172853197
0.756302521008403,61782.5353499491,61782.5353499491,0.340863,0.399352829180288,4600.79415925988
0.764705882352941,53712.0731399629,53712.0731399629,0.259524,0.398203765312799,3963.67157666222
0.773109243697479,46011.5741327171,46011.5741327171,0.197141,0.397193883609459,3370.71003742819
0.781512605042017,38987.9967504268,38987.9967504268,0.150054,0.396306786191823,2836.47393251129
0.789915966386555,32783.1445049085,32783.1445049085,0.114879,0.395527899980795,2375.13560877799
0.798319327731092,27390.2660412515,27390.2660412515,0.088723,0.394844298859435,1980.58785351191
0.80672268907563,22768.9023911562,22768.9023911562,0.069242,0.394244536999643,1638.91609458334
0.815126050420168,18864.5723720455,18864.5723720455,0.054602,0.393718494332438,1348.96428300347
0.823529411764706,15603.2012588077,15603.2012588077,0.043398,0.393257234530177,1109.94490541785
0.831932773109244,12891.8458994241,12891.8458994241,0.034564,0.392852875427714,919.467429007986
0.840336134453782,10624.0854104962,10624.0854104962,0.027293,0.392498471501323,758.99005274463
0.848739495798319,8736.51822221636,8736.51822221636,0.020983,0.392187907818907,622.397012747824
0.857142857142857,7177.6653442497,7177.6653442497,0.015218,0.391915804747707,509.149826038862
0.865546218487395,5894.45140319122,5894.45140319122,0.009812,0.391677432636597,417.710564884357
0.873949579831933,4835.7074478766,4835.7074478766,0.004912,0.391468635663419,343.588073630002
0.882352941176471,3960.69225598513,3960.69225598513,0.00119,0.39128576404145,281.107923810487
0.890756302521008,3242.63281644854,3242.63281644854,9.2e-05,0.391125613803622,229.565706614754
0.899159663865546,2656.4186881192,2656.4186881192,0.004046,0.390985373421368,188.071870344458
0.907563025210084,2179.68095137317,2179.68095137317,0.016443,0.390862576561691,154.895934781758
0.915966386554622,1794.57109561696,1794.57109561696,0.041103,0.390755060337205,127.840251534712
0.92436974789916,1487.22288323696,1487.22288323696,0.081041,0.390660928456802,106.226915328531
0.932773109243697,1244.4522460696,1244.4522460696,0.13669,0.390578518737087,89.3553379090736
0.941176470588235,1054.18805865175,1054.18805865175,0.204303,0.390506374485607,76.3949342166306
0.949579831932773,905.274812620412,905.274812620412,0.275617,0.390443219315152,66.0539252122398
0.957983193277311,787.813779229591,787.813779229591,0.339571,0.390387934993595,57.6787835443392
0.966386554621849,693.425224013585,693.425224013585,0.385698,0.390339541975527,50.8596621431643
0.974789915966387,614.979831443741,614.979831443741,0.407638,0.390297182300262,45.1867349343374
0.983193277310924,546.598565605052,546.598565605052,0.404954,0.390260104575681,40.1896155949216
0.991596638655462,484.187054563856,484.187054563856,0.382471,0.390227650798959,35.5053763579344
1,426.428853349092,426.428853349092,0.347864,0.390199244793612,0
